iter	Passed	Remaining
0	0	731
1	1	662
2	2	668
3	2	669
4	3	639
5	3	632
6	4	636
7	5	633
8	5	624
9	6	620
10	6	612
11	7	609
12	8	608
13	8	608
14	9	603
15	9	596
16	10	597
17	11	600
18	11	597
19	12	597
20	12	595
21	13	591
22	13	587
23	14	586
24	14	582
25	15	578
26	16	577
27	16	573
28	17	571
29	17	568
30	18	566
31	18	567
32	19	565
33	19	564
34	20	562
35	21	562
36	21	561
37	22	560
38	22	559
39	23	561
40	24	561
41	24	560
42	25	558
43	25	558
44	26	558
45	26	556
46	27	556
47	28	555
48	28	555
49	29	555
50	29	554
51	30	553
52	30	552
53	31	551
54	32	550
55	32	549
56	33	549
57	33	548
58	34	547
59	34	546
60	35	546
61	36	545
62	36	545
63	37	545
64	37	544
65	38	544
66	39	543
67	39	542
68	40	541
69	40	540
70	41	539
71	41	538
72	42	536
73	42	535
74	43	534
75	43	534
76	44	533
77	45	533
78	45	532
79	46	531
80	46	530
81	47	529
82	47	526
83	48	526
84	48	526
85	49	525
86	49	524
87	50	524
88	51	524
89	51	523
90	52	522
91	52	521
92	53	521
93	54	521
94	54	520
95	55	521
96	55	520
97	56	519
98	57	519
99	57	519
100	58	518
101	58	518
102	59	518
103	60	517
104	60	518
105	61	517
106	61	517
107	62	516
108	62	514
109	63	513
110	63	512
111	64	512
112	65	512
113	65	512
114	66	511
115	67	511
116	67	509
117	68	508
118	68	507
119	69	506
120	69	505
121	70	504
122	70	504
123	71	504
124	71	503
125	72	503
126	73	502
127	73	501
128	74	501
129	74	500
130	75	500
131	76	500
132	76	500
133	77	500
134	78	500
135	78	499
136	79	499
137	79	498
138	80	498
139	81	498
140	81	498
141	82	496
142	82	496
143	83	496
144	84	496
145	84	495
146	85	494
147	85	494
148	86	494
149	87	494
150	87	493
151	88	493
152	88	492
153	89	491
154	90	491
155	90	491
156	91	491
157	92	490
158	92	490
159	93	490
160	93	488
161	94	487
162	94	487
163	95	486
164	95	485
165	96	485
166	97	487
167	98	487
168	98	486
169	99	485
170	100	485
171	100	484
172	101	484
173	101	483
174	102	483
175	103	482
176	103	482
177	104	481
178	104	480
179	105	480
180	106	480
181	106	479
182	107	478
183	108	480
184	108	479
185	109	479
186	110	478
187	110	478
188	111	477
189	111	477
190	112	476
191	113	476
192	113	476
193	114	475
194	115	475
195	115	474
196	116	473
197	116	473
198	117	472
199	117	471
200	118	470
201	119	470
202	119	470
203	120	469
204	120	469
205	121	468
206	122	467
207	122	467
208	123	466
209	123	466
210	124	465
211	125	465
212	125	465
213	126	464
214	126	463
215	127	463
216	128	462
217	128	462
218	129	461
219	129	460
220	130	460
221	131	459
222	131	458
223	132	458
224	132	457
225	133	456
226	133	456
227	134	455
228	135	454
229	135	454
230	136	453
231	137	453
232	137	452
233	138	452
234	138	451
235	139	450
236	139	450
237	140	449
238	141	449
239	141	448
240	142	447
241	142	447
242	143	446
243	143	445
244	144	444
